OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2019-063AT","YUNHAI 1-02 DEB","49267","PRC","100.41","98.55","781","775","SMALL","0","2019-09-25",""
"2019-063AS","YUNHAI 1-02 DEB","49266","PRC","100.36","98.54","784","768","SMALL","0","2019-09-25",""
"2019-063AR","YUNHAI 1-02 DEB","49265","PRC","101.84","98.61","932","760","SMALL","0","2019-09-25",""
"2021-088E","OBJECT E","49264","US","95.89","97.62","574","550","","0","2021-09-27",""
"2021-088D","OBJECT D","49263","US","95.90","97.62","574","550","","0","2021-09-27",""
"2021-088C","OBJECT C","49262","US","95.97","97.62","581","550","","0","2021-09-27",""
"2021-088B","OBJECT B","49261","US","95.98","97.62","582","550","","0","2021-09-27",""
"2021-088A","LANDSAT 9","49260","US","98.33","98.22","687","670","","0","2021-09-27",""
"2021-087B","CZ-3B R/B","49259","PRC","706.80","51.37","39597","215","","0","2021-09-27",""
"2021-087A","SHIYAN 10 (SY-10)","49258","PRC","716.26","51.08","40104","176","","0","2021-09-27",""
"2021-086B","KZ-1A R/B","49257","PRC","91.52","97.50","532","166","","0","2021-09-27",""
"2021-086A","JILIN-01 GAOFEN 2D","49256","PRC","95.41","97.54","546","532","LARGE","0","2021-09-27",""
"2021-053H","SZ-12 MODULE DEB","49255","PRC","91.65","41.55","363","348","SMALL","0","2021-06-17",""
"2021-053G","SZ-12 MODULE DEB","49254","PRC","91.62","41.53","363","345","SMALL","0","2021-06-17",""
"2021-053F","SZ-12 MODULE DEB","49253","PRC","92.14","41.54","386","373","SMALL","0","2021-06-17",""
"2021-053E","SZ-12 MODULE DEB","49252","PRC","91.74","41.54","364","355","SMALL","0","2021-06-17",""
"2021-053D","SZ-12 MODULE DEB","49251","PRC","91.85","41.54","370","360","SMALL","0","2021-06-17",""
"1999-057TD","CZ-4B DEB","49250","PRC","99.82","98.66","820","680","SMALL","0","1999-10-14",""
"1966-040BX","NIMBUS 2 DEB","49249","US","107.97","100.47","1169","1097","SMALL","0","1966-05-15",""
"2021-084B","INSPIRATION-4 DEB","49248","US","91.80","51.64","367","358","LARGE","0","2021-09-16",""
"1983-044GX","COSMOS 1461 DEB","49247","CIS","96.18","65.00","637","514","SMALL","0","1983-05-07",""
"1994-074GA","RESURS O1 DEB","49246","CIS","97.08","97.91","621","617","","0","1994-11-04",""
"1994-074FZ","RESURS O1 DEB","49245","CIS","97.18","97.93","628","620","","0","1994-11-04",""
"1994-074FY","RESURS O1 DEB","49244","CIS","97.18","97.93","628","619","","0","1994-11-04",""
"1994-074FX","RESURS O1 DEB","49243","CIS","97.14","97.91","623","621","SMALL","0","1994-11-04",""
"1994-074FW","RESURS O1 DEB","49242","CIS","97.18","97.92","626","621","SMALL","0","1994-11-04",""
"1994-074FV","RESURS O1 DEB","49241","CIS","97.10","97.90","626","614","SMALL","0","1994-11-04",""
"1994-074FU","RESURS O1 DEB","49240","CIS","97.16","97.90","626","620","SMALL","0","1994-11-04",""
"1994-074FT","RESURS O1 DEB","49239","CIS","97.19","97.90","627","621","SMALL","0","1994-11-04",""
"1994-074FS","RESURS O1 DEB","49238","CIS","97.12","97.91","621","620","SMALL","0","1994-11-04",""
"1994-074FR","RESURS O1 DEB","49237","CIS","97.10","97.89","621","619","SMALL","0","1994-11-04",""
"1994-074FQ","RESURS O1 DEB","49236","CIS","97.13","97.90","625","617","SMALL","0","1994-11-04",""
"1994-074FP","RESURS O1 DEB","49235","CIS","97.10","97.90","625","614","","0","1994-11-04",""
"1994-074FN","RESURS O1 DEB","49234","CIS","97.17","97.89","624","622","SMALL","0","1994-11-04",""
"1994-074FM","RESURS O1 DEB","49233","CIS","97.16","97.90","627","618","SMALL","0","1994-11-04",""
"1994-074FL","RESURS O1 DEB","49232","CIS","97.28","97.89","632","626","SMALL","0","1994-11-04",""
"1994-074FK","RESURS O1 DEB","49231","CIS","97.17","97.89","629","618","SMALL","0","1994-11-04",""
"1994-074FJ","RESURS O1 DEB","49230","CIS","97.16","97.93","628","617","SMALL","0","1994-11-04",""
"1994-074FH","RESURS O1 DEB","49229","CIS","96.72","97.73","607","596","SMALL","0","1994-11-04",""
"1994-074FG","RESURS O1 DEB","49228","CIS","97.16","97.91","625","621","SMALL","0","1994-11-04",""
"1994-074FF","RESURS O1 DEB","49227","CIS","97.15","97.92","625","620","SMALL","0","1994-11-04",""
"1994-074FE","RESURS O1 DEB","49226","CIS","97.10","97.89","621","619","","0","1994-11-04",""
"1994-074FD","RESURS O1 DEB","49225","CIS","97.15","97.89","623","621","SMALL","0","1994-11-04",""
"1994-074FC","RESURS O1 DEB","49224","CIS","97.14","97.88","624","619","SMALL","0","1994-11-04",""
"2021-085B","CZ-7 R/B","49223","PRC","89.11","41.45","281","180","LARGE","0","2021-09-20",""
"2021-085A","TIANZHOU 3","49222","PRC","92.23","41.47","385","383","","0","2021-09-20",""
"2021-053C","SZ-12 MODULE","49221","PRC","92.30","41.56","390","384","LARGE","0","2021-06-17",""
"2021-083AK","ONEWEB-0357","49219","UK","94.23","87.35","494","469","MEDIUM","0","2021-09-14",""
"2021-083AJ","ONEWEB-0355","49218","UK","94.36","87.35","498","477","MEDIUM","0","2021-09-14",""
"2021-083AH","ONEWEB-0354","49217","UK","93.95","87.37","479","456","LARGE","0","2021-09-14",""
"2021-083AG","ONEWEB-0352","49216","UK","94.42","87.35","501","479","MEDIUM","0","2021-09-14",""
"2021-083AF","ONEWEB-0351","49215","UK","94.15","87.35","488","466","LARGE","0","2021-09-14",""
"2021-083AE","ONEWEB-0350","49214","UK","94.40","87.35","500","479","MEDIUM","0","2021-09-14",""
"2021-083AD","ONEWEB-0348","49213","UK","94.24","87.36","495","468","LARGE","0","2021-09-14",""
"2021-083AC","ONEWEB-0346","49212","UK","94.68","87.42","515","491","MEDIUM","0","2021-09-14",""
"2021-083AB","ONEWEB-0345","49211","UK","94.46","87.35","505","481","MEDIUM","0","2021-09-14",""
"2021-083AA","ONEWEB-0344","49210","UK","94.49","87.34","506","481","MEDIUM","0","2021-09-14",""
"2021-083Z","ONEWEB-0343","49209","UK","94.55","87.43","510","484","MEDIUM","0","2021-09-14",""
"2021-083Y","ONEWEB-0342","49208","UK","94.20","87.36","493","467","MEDIUM","0","2021-09-14",""
"2021-083X","ONEWEB-0341","49207","UK","94.62","87.42","512","488","MEDIUM","0","2021-09-14",""
"2021-083W","ONEWEB-0340","49206","UK","94.67","87.42","514","491","MEDIUM","0","2021-09-14",""
"2021-083V","ONEWEB-0339","49205","UK","94.41","87.35","501","479","MEDIUM","0","2021-09-14",""
"2021-083U","ONEWEB-0338","49204","UK","94.30","87.35","497","472","MEDIUM","0","2021-09-14",""
"2021-083T","ONEWEB-0337","49203","UK","94.51","87.34","508","482","MEDIUM","0","2021-09-14",""
"2021-083S","ONEWEB-0336","49202","UK","94.45","87.35","503","481","MEDIUM","0","2021-09-14",""
"2021-083R","ONEWEB-0335","49201","UK","94.49","87.35","507","481","MEDIUM","0","2021-09-14",""
"2021-083Q","ONEWEB-0334","49200","UK","94.22","87.35","494","468","MEDIUM","0","2021-09-14",""
"2021-083P","ONEWEB-0333","49199","UK","94.35","87.35","498","477","MEDIUM","0","2021-09-14",""
"2021-083N","ONEWEB-0331","49198","UK","94.61","87.42","513","487","LARGE","0","2021-09-14",""
"2021-083M","ONEWEB-0328","49197","UK","94.35","87.35","498","476","LARGE","0","2021-09-14",""
"2021-083L","ONEWEB-0327","49196","UK","94.58","87.42","512","485","MEDIUM","0","2021-09-14",""
"2021-083K","ONEWEB-0326","49195","UK","94.54","87.42","510","483","MEDIUM","0","2021-09-14",""
"2021-083J","ONEWEB-0325","49194","UK","94.71","87.42","516","493","MEDIUM","0","2021-09-14",""
"2021-083H","ONEWEB-0324","49193","UK","94.63","87.42","513","488","MEDIUM","0","2021-09-14",""
"2021-083G","ONEWEB-0322","49192","UK","94.32","87.35","497","474","MEDIUM","0","2021-09-14",""
"2021-083F","ONEWEB-0321","49191","UK","94.27","87.35","496","470","MEDIUM","0","2021-09-14",""
"2021-083E","ONEWEB-0320","49190","UK","94.72","87.42","516","494","MEDIUM","0","2021-09-14",""
"2021-083D","ONEWEB-0307","49189","UK","94.40","87.35","500","479","MEDIUM","0","2021-09-14",""
"2021-083C","ONEWEB-0306","49188","UK","94.54","87.43","510","483","MEDIUM","0","2021-09-14",""
"2021-083B","ONEWEB-0303","49187","UK","94.69","87.42","515","492","MEDIUM","0","2021-09-14",""
"2021-083A","ONEWEB-0292","49186","UK","94.31","87.35","498","473","MEDIUM","0","2021-09-14",""
"2021-082BH","FALCON 9 DEB","49185","US","88.75","69.99","240","186","MEDIUM","0","2021-09-14",""
"2021-082BG","FALCON 9 DEB","49184","US","88.61","70.00","228","183","MEDIUM","0","2021-09-14",""
"2021-082BF","FALCON 9 DEB","49183","US","88.84","69.99","243","192","MEDIUM","0","2021-09-14",""
"2021-082BE","FALCON 9 DEB","49182","US","88.99","69.99","257","192","MEDIUM","0","2021-09-14",""
"2021-082BD","STARLINK-3059","49181","US","91.74","70.00","362","357","MEDIUM","0","2021-09-14",""
"2021-082BC","STARLINK-3050","49180","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082BB","STARLINK-3043","49179","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082BA","STARLINK-3086","49178","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AZ","STARLINK-3103","49177","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AY","STARLINK-3069","49176","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AX","STARLINK-3087","49175","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AW","STARLINK-3047","49174","US","91.77","70.00","364","359","LARGE","0","2021-09-14",""
"2021-082AV","STARLINK-3045","49173","US","91.41","70.00","346","342","LARGE","0","2021-09-14",""
"2021-082AU","STARLINK-3091","49172","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AT","STARLINK-3107","49171","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AS","STARLINK-3074","49170","US","91.74","70.00","362","358","LARGE","0","2021-09-14",""
"2021-082AR","STARLINK-3046","49169","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AQ","STARLINK-3101","49168","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AP","STARLINK-3054","49167","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AN","STARLINK-3089","49166","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AM","STARLINK-3052","49165","US","91.76","70.00","363","358","MEDIUM","0","2021-09-14",""
"2021-082AL","STARLINK-3106","49164","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AK","STARLINK-3088","49163","US","91.73","70.00","362","357","MEDIUM","0","2021-09-14",""
"2021-082AJ","STARLINK-3082","49162","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AH","STARLINK-3080","49161","US","91.73","70.00","362","357","MEDIUM","0","2021-09-14",""
"2021-082AG","STARLINK-3095","49160","US","91.75","70.00","363","358","LARGE","0","2021-09-14",""
"2021-082AF","STARLINK-3056","49159","US","91.74","70.00","362","358","LARGE","0","2021-09-14",""
"2021-082AE","STARLINK-3083","49158","US","91.76","70.00","363","359","LARGE","0","2021-09-14",""
"2021-082AD","STARLINK-3051","49157","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AC","STARLINK-3085","49156","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082AB","STARLINK-3060","49155","US","91.74","70.00","362","358","LARGE","0","2021-09-14",""
"2021-082AA","STARLINK-3068","49154","US","91.74","70.00","362","358","LARGE","0","2021-09-14",""
"2021-082Z","STARLINK-3072","49153","US","91.74","70.00","363","357","MEDIUM","0","2021-09-14",""
"2021-082Y","STARLINK-3081","49152","US","91.74","70.00","362","358","LARGE","0","2021-09-14",""
"2021-082X","STARLINK-3102","49151","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082W","STARLINK-3104","49150","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082V","STARLINK-3053","49149","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082U","STARLINK-3048","49148","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082T","STARLINK-3071","49147","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082S","STARLINK-3116","49146","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082R","STARLINK-3119","49145","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082Q","STARLINK-3100","49144","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082P","STARLINK-3109","49143","US","91.75","70.00","363","358","MEDIUM","0","2021-09-14",""
"2021-082N","STARLINK-3042","49142","US","91.75","70.00","363","358","LARGE","0","2021-09-14",""
"2021-082M","STARLINK-3093","49141","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082L","STARLINK-3118","49140","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082K","STARLINK-3057","49139","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082J","STARLINK-3058","49138","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082H","STARLINK-3055","49137","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082G","STARLINK-3084","49136","US","91.75","70.00","363","358","LARGE","0","2021-09-14",""
"2021-082F","STARLINK-3073","49135","US","91.75","70.00","363","358","LARGE","0","2021-09-14",""
"2021-082E","STARLINK-3078","49134","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082D","STARLINK-3077","49133","US","91.74","70.00","362","358","LARGE","0","2021-09-14",""
"2021-082C","STARLINK-3090","49132","US","91.73","70.00","362","357","LARGE","0","2021-09-14",""
"2021-082B","STARLINK-3096","49131","US","91.74","70.00","362","357","LARGE","0","2021-09-14",""
"1998-067SQ","ISS DEB","49129","CIS","92.69","51.64","408","405","SMALL","0","1998-11-20",""
"2021-081B","SL-4 R/B","49128","CIS","90.35","96.35","300","283","LARGE","0","2021-09-09",""
"2021-081A","COSMOS 2551","49127","CIS","90.12","96.34","287","273","LARGE","0","2021-09-09",""
"2021-080B","CZ-3B R/B","49126","PRC","600.21","24.64","34191","193","","0","2021-09-09",""
"2021-080A","CHINASAT 9B","49125","PRC","1436.09","0.05","35804","35769","LARGE","0","2021-09-09",""
"2021-079C","OBJECT C","49124","PRC","96.19","98.40","731","422","MEDIUM","0","2021-09-07",""
"2021-079B","CZ-4C R/B","49123","PRC","96.44","98.32","684","492","LARGE","0","2021-09-07",""
"2021-079A","GAOFEN-5 02","49122","PRC","98.79","98.28","702","700","LARGE","0","2021-09-07",""
"2002-022F","AQUA DEB","49121","US","98.95","98.11","753","663","SMALL","0","2002-05-04",""
"2002-022E","AQUA DEB","49120","US","98.42","98.21","689","677","SMALL","0","2002-05-04",""
"2002-022D","AQUA DEB","49119","US","93.23","97.83","438","428","","0","2002-05-04",""
"2002-022C","AQUA DEB","49118","US","91.73","98.04","381","338","","0","2002-05-04",""
